Account_UUID;Account_ID;Name
00163E6B-F0AE-1ED8-AB8B-362347F50426;1046982;архитектор - 2 30.08
00163E6B-F0AE-1ED8-BBDC-D1835CD0D82B;200000006;САМАРАЖИЛПРОЕКТ
00163E6B-F0AE-1ED8-BBDC-D1835CD5D82B;200000011;ГЕОМЕТРИЯ ПРОСТРАНСТВА+
00163E6B-F0AE-1ED8-BBDC-D1835CD6D82B;200000012;СТРОЙПРОЕКТ
00163E6B-F0AE-1ED8-BBDC-D1835CD8D82B;200000014;ПЕНЗТИСИЗ
00163E6B-F0AE-1ED8-BBDC-D1835CEBF82B;200000033;Управление главного архитектора
00163E6B-F0AE-1ED8-BBDC-D1835CF1382B;200000039;Полевой
00163E6B-F0AE-1ED8-BE8E-324A08C16284;1047376;test role duplicate
00163E6B-F0AE-1EE8-AF96-580A22989381;1047004;Пуненко С.Н.
